player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
Rodrygo,Real Madrid,2025-2026,MF,684,1,3,4,1,23,0,0.13157894736842105,0.39473684210526316,0.13157894736842105,0.5263157894736842,3.0263157894736845,0.0,5.526315789473684,1.330576566293603,89.24731182795699,21
Ilyas Chaira,Oviedo,2025-2026,MF,2447,6,2,8,6,41,18,0.2206783816918676,0.07355946056395586,0.2206783816918676,0.29423784225582345,1.507968941561095,0.6620351450756028,2.721700040866367,1.2822696775589413,88.70967741935483,22
Tajon Buchanan,Villarreal,2025-2026,MF,1819,7,1,8,7,36,8,0.34634414513468936,0.04947773501924134,0.34634414513468936,0.3958218801539307,1.7811984606926883,0.3958218801539307,1.632765255634964,1.1889181555434745,88.17204301075269,23
Pere Milla,Espanyol,2025-2026,MF,1973,7,1,8,7,38,10,0.3193106943740497,0.0456158134820071,0.3193106943740497,0.3649265078560568,1.7334009123162697,0.456158134820071,1.6421692853522556,1.1582503198522376,87.63440860215054,24
Raúl Moro,Osasuna,2025-2026,MF,625,0,2,2,0,6,5,0.0,0.288,0.0,0.288,0.864,0.72,4.032,1.1224358414983109,87.09677419354838,25
Pablo Torre,Mallorca,2025-2026,MF,1599,4,4,8,4,36,1,0.22514071294559101,0.22514071294559101,0.22514071294559101,0.45028142589118203,2.0262664165103192,0.056285178236397754,5.065666041275797,1.113621290091061,86.55913978494624,26
Abde Rebbach,Alavés,2025-2026,MF,1496,1,4,5,1,30,5,0.06016042780748663,0.24064171122994651,0.06016042780748663,0.30080213903743314,1.8048128342245988,0.30080213903743314,6.557486631016042,1.0412059539233083,86.02150537634408,27
Ángel Pérez,Alavés,2025-2026,MF,1288,1,3,4,1,17,6,0.06987577639751552,0.20962732919254656,0.06987577639751552,0.2795031055900621,1.1878881987577639,0.4192546583850931,5.9394409937888195,1.007486640437706,85.48387096774194,28
Antony,Real Betis,2025-2026,MF,2447,8,6,14,8,44,2,0.29423784225582345,0.2206783816918676,0.29423784225582345,0.514916223947691,1.618308132407029,0.07355946056395586,2.4274621986105434,0.9861356031284503,84.94623655913979,29
Jude Bellingham,Real Madrid,2025-2026,MF,1916,6,4,10,6,55,4,0.2818371607515658,0.18789144050104384,0.2818371607515658,0.4697286012526096,2.583507306889353,0.18789144050104384,0.7515657620041754,0.9577180419093042,84.40860215053763,30
Ander Barrenetxea,Real Sociedad,2025-2026,MF,1763,3,5,8,3,30,5,0.15314804310833807,0.2552467385138968,0.15314804310833807,0.40839478162223486,1.5314804310833807,0.2552467385138968,3.6755530346001133,0.9512424670640399,83.87096774193549,31
Alberto Moleiro,Villarreal,2025-2026,MF,2478,10,5,15,10,27,3,0.3631961259079903,0.18159806295399514,0.3631961259079903,0.5447941888619854,0.9806295399515738,0.1089588377723971,1.12590799031477,0.9417396946235121,83.33333333333334,32
Álex Berenguer,Athletic Club,2025-2026,MF,2154,2,3,5,2,38,6,0.08356545961002786,0.12534818941504178,0.08356545961002786,0.20891364902506965,1.5877437325905293,0.25069637883008355,8.314763231197771,0.9394089270843531,82.79569892473118,33
Giuliano Simeone,Atlético Madrid,2025-2026,MF,2099,4,6,10,4,40,7,0.1715102429728442,0.2572653644592663,0.1715102429728442,0.4287756074321105,1.715102429728442,0.3001429252024774,2.0581229156741303,0.9142318552360923,82.25806451612904,34
Giovani Lo Celso,Real Betis,2025-2026,MF,1393,2,3,5,2,42,4,0.12921751615218952,0.19382627422828427,0.12921751615218952,0.3230437903804738,2.71356783919598,0.25843503230437903,3.9411342426417804,0.9118839566341412,81.72043010752688,35
Iker Losada,Levante,2025-2026,MF,902,3,1,4,3,7,3,0.29933481152993346,0.09977827050997783,0.29933481152993346,0.3991130820399113,0.6984478935698448,0.29933481152993346,2.1951219512195124,0.863896223271788,81.18279569892472,36
Joaquín Martínez Gauna,Sevilla,2025-2026,MF,1408,2,3,5,2,16,4,0.1278409090909091,0.19176136363636365,0.1278409090909091,0.31960227272727276,1.0227272727272727,0.2556818181818182,5.625,0.8531977994059589,80.64516129032258,37
Takuma Asano,Mallorca,2025-2026,MF,664,1,0,1,1,10,8,0.1355421686746988,0.0,0.1355421686746988,0.1355421686746988,1.355421686746988,0.8206646436237154,1.897590361445783,0.834206705961892,80.10752688172043,38
Luis Rioja,Valencia,2025-2026,MF,2624,3,6,9,3,29,9,0.10289634146341464,0.20579268292682928,0.10289634146341464,0.3086890243902439,0.9946646341463414,0.3086890243902439,5.213414634146342,0.8136729325346859,79.56989247311827,39
Javi Rueda,Celta Vigo,2025-2026,MF,1404,2,6,8,2,21,3,0.12820512820512822,0.38461538461538464,0.12820512820512822,0.5128205128205129,1.3461538461538463,0.19230769230769232,1.7307692307692308,0.7987692646419735,79.03225806451613,40
Viktor Tsyhankov,Girona,2025-2026,MF,2630,6,5,11,6,35,5,0.20532319391634982,0.17110266159695817,0.20532319391634982,0.376425855513308,1.1977186311787074,0.17110266159695817,4.106463878326997,0.7964993772890637,78.49462365591397,41
Edu Expósito,Espanyol,2025-2026,MF,2523,1,6,7,1,42,2,0.0356718192627824,0.2140309155766944,0.0356718192627824,0.2497027348394768,1.4982164090368608,0.0713436385255648,9.060642092746729,0.7693982448090522,77.95698924731182,42
Iñaki Williams,Athletic Club,2025-2026,MF,2157,3,6,9,2,23,10,0.12517385257301808,0.25034770514603616,0.08344923504867872,0.3337969401947149,0.9596662030598053,0.41724617524339364,2.7955493741307373,0.7584083367713612,77.41935483870968,43
Víctor García,Levante,2025-2026,MF,1040,2,1,3,2,11,3,0.17307692307692307,0.08653846153846154,0.17307692307692307,0.25961538461538464,0.951923076923077,0.25961538461538464,5.625,0.7420658897221037,76.88172043010752,44
Thiago Fernández,Oviedo,2025-2026,MF,817,0,4,4,0,11,2,0.0,0.44063647490820074,0.0,0.44063647490820074,1.211750305997552,0.22031823745410037,2.9742962056303552,0.6081895502902295,76.34408602150538,45
Francisco Perez,Rayo Vallecano,2025-2026,MF,1237,2,1,3,2,15,6,0.14551333872271627,0.07275666936135813,0.14551333872271627,0.21827000808407437,1.091350040420372,0.43654001616814875,3.49232012934519,0.6079271970375704,75.80645161290323,46
Largie Ramazani,Valencia,2025-2026,MF,1234,6,1,7,3,20,2,0.4376012965964344,0.07293354943273907,0.2188006482982172,0.29173419773095627,1.4586709886547813,0.14586709886547813,1.9692058346839547,0.6044004594948736,75.26881720430107,47
Roony Bardghji,Barcelona,2025-2026,MF,648,1,1,2,1,8,0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.2777777777777778,1.1111111111111112,0.0,7.5,0.5909798346281231,74.73118279569893,48
Jones El-Abdellaoui,Celta Vigo,2025-2026,MF,681,2,0,2,2,3,2,0.2643171806167401,0.0,0.2643171806167401,0.2643171806167401,0.39647577092511016,0.2643171806167401,3.9647577092511015,0.5678665332132351,74.19354838709677,49
Azzedine Ounahi,Girona,2025-2026,MF,1760,5,2,7,4,63,1,0.2556818181818182,0.10227272727272727,0.20454545454545453,0.30681818181818177,3.2215909090909087,0.05113636363636363,2.0965909090909087,0.5190988034303781,73.65591397849462,50
Víctor Muñoz,Osasuna,2025-2026,MF,2656,6,2,8,6,54,5,0.20331325301204817,0.0677710843373494,0.20331325301204817,0.2710843373493976,1.8298192771084336,0.1694277108433735,3.354668674698795,0.48729329841269764,73.11827956989248,51
Peque,Sevilla,2025-2026,MF,982,2,1,3,2,47,1,0.18329938900203666,0.09164969450101833,0.18329938900203666,0.27494908350305497,3.408831747335346,0.09164969450101833,2.566191446028513,0.4862745086421543,72.58064516129032,52
Arsen Zakharyan,Real Sociedad,2025-2026,MF,458,0,0,0,0,2,4,0.0,0.0,0.0,0.0,0.39301310043668125,0.7860262008733625,5.109170305676856,0.48561767409679024,72.04301075268818,53
Joel Roca,Girona,2025-2026,MF,1473,3,1,4,3,45,4,0.18329938900203666,0.06109979633401222,0.18329938900203666,0.24439918533604887,2.74949083503055,0.24439918533604887,2.016293279022403,0.4735282393472585,71.50537634408603,54
Luis Milla,Getafe,2025-2026,MF,3271,1,10,11,1,43,3,0.027514521553041887,0.2751452155304189,0.027514521553041887,0.3026597370834607,1.183124426780801,0.08254356465912566,6.190767349434425,0.46830226414234244,70.96774193548387,55
Arnaut Danjuma,Valencia,2025-2026,MF,1628,3,2,5,3,22,5,0.16584766584766586,0.11056511056511056,0.16584766584766586,0.2764127764127764,1.2162162162162162,0.2764127764127764,2.708845208845209,0.4381892167511035,70.43010752688173,56
Javier Guerra,Valencia,2025-2026,MF,2061,4,6,10,4,20,2,0.17467248908296945,0.26200873362445415,0.17467248908296945,0.4366812227074236,0.8733624454148472,0.08733624454148473,2.0087336244541487,0.42852809711985596,69.89247311827957,57
Samu Costa,Mallorca,2025-2026,MF,2697,7,2,9,7,68,6,0.2335928809788654,0.06674082313681869,0.2335928809788654,0.3003337041156841,2.2691879866518354,0.20022246941045607,1.0011123470522805,0.4067213366916054,69.35483870967742,58
