player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
Mateu Morey,Mallorca,2025-2026,DF,704,1,0,1,1,10,1,0.1278409090909091,0.0,0.1278409090909091,0.1278409090909091,1.278409090909091,0.1278409090909091,1.7897727272727273,0.8503325051945217,79.33333333333333,32
Álvaro Núñez,Elche,2025-2026,DF,1647,0,2,2,0,17,2,0.0,0.1092896174863388,0.0,0.1092896174863388,0.9289617486338797,0.1092896174863388,3.278688524590164,0.8388624102823601,78.66666666666666,33
Jules Koundé,Barcelona,2025-2026,DF,2261,1,3,4,1,24,2,0.039805395842547546,0.11941618752764263,0.039805395842547546,0.15922158337019018,0.955329500221141,0.07961079168509509,1.5922158337019017,0.8238104416843418,78.0,34
Toni Lato,Mallorca,2025-2026,DF,583,0,1,1,0,3,0,0.0,0.15437392795883362,0.0,0.15437392795883362,0.4631217838765008,0.0,4.013722126929674,0.760963803855583,77.33333333333333,35
Alejandro Balde,Barcelona,2025-2026,DF,1869,0,2,2,0,25,4,0.0,0.09630818619582665,0.0,0.09630818619582665,1.2038523274478332,0.1926163723916533,1.2038523274478332,0.7276982713667093,76.66666666666667,36
Matteo Ruggeri,Atlético Madrid,2025-2026,DF,1774,0,3,3,0,2,1,0.0,0.15219842164599773,0.0,0.15219842164599773,0.10146561443066515,0.050732807215332576,4.363021420518602,0.7021821445583847,76.0,37
Eray Cömert,Valencia,2025-2026,DF,1337,2,1,3,2,13,1,0.13462976813762154,0.06731488406881077,0.13462976813762154,0.20194465220643232,0.87509349289454,0.06731488406881077,0.06731488406881077,0.6969042593372539,75.33333333333333,38
Marcão,Sevilla,2025-2026,DF,938,1,0,1,1,21,1,0.09594882729211088,0.0,0.09594882729211088,0.09594882729211088,2.014925373134328,0.09594882729211088,0.09594882729211088,0.6968200752650785,74.66666666666667,39
José Luis Gayà,Valencia,2025-2026,DF,2448,1,2,3,1,20,3,0.03676470588235294,0.07352941176470588,0.03676470588235294,0.11029411764705882,0.7352941176470589,0.11029411764705882,3.235294117647059,0.6737531109126453,74.0,40
Javi López,Oviedo,2025-2026,DF,1711,0,1,1,0,26,2,0.0,0.05260081823495032,0.0,0.05260081823495032,1.3676212741087082,0.10520163646990063,3.156049094097019,0.6257420584057668,73.33333333333333,41
Pedro Bigas,Elche,2025-2026,DF,2063,1,3,4,1,19,0,0.043625787687833255,0.13087736306349976,0.043625787687833255,0.17450315075133302,0.8288899660688318,0.0,1.1342704798836647,0.5657186595980541,72.66666666666667,42
Junior Firpo,Real Betis,2025-2026,DF,827,0,1,1,0,8,1,0.0,0.10882708585247884,0.0,0.10882708585247884,0.8706166868198307,0.10882708585247884,2.067714631197098,0.5592289719615618,72.0,43
Gabriel Suazo,Sevilla,2025-2026,DF,2096,0,2,2,0,15,2,0.0,0.08587786259541985,0.0,0.08587786259541985,0.6440839694656488,0.08587786259541985,4.079198473282443,0.5492816473899818,71.33333333333334,44
Victor Parada,Alavés,2025-2026,DF,2146,0,3,3,0,15,4,0.0,0.12581547064305684,0.0,0.12581547064305684,0.6290773532152842,0.16775396085740912,1.3000931966449207,0.5436659179312595,70.66666666666667,45
Alan Matturro,Levante,2025-2026,DF,947,1,1,2,1,10,0,0.09503695881731784,0.09503695881731784,0.09503695881731784,0.1900739176346357,0.9503695881731785,0.0,0.0,0.5013218465211806,70.0,46
Aritz Elustondo,Real Sociedad,2025-2026,DF,720,0,1,1,0,11,0,0.0,0.125,0.0,0.125,1.375,0.0,0.75,0.4893960502846819,69.33333333333334,47
Rahim Bonkano,Oviedo,2025-2026,DF,1713,0,0,0,0,8,9,0.0,0.0,0.0,0.0,0.42031523642732044,0.4260615272775327,3.572679509632224,0.4754142783996517,68.66666666666667,48
Jeremy Toljan,Levante,2025-2026,DF,3164,1,4,5,1,19,2,0.028445006321112513,0.11378002528445005,0.028445006321112513,0.14222503160556257,0.5404551201011377,0.05689001264222503,2.161820480404551,0.4696646662223408,68.0,49
Ronald Araújo,Barcelona,2025-2026,DF,1071,3,0,3,3,3,0,0.22613780025284402,0.0,0.22613780025284402,0.25210084033613445,0.25210084033613445,0.0,0.5042016806722689,0.3867347789555937,67.33333333333333,50
