player_name,team,league,season,position_group,age,minutes_played,matches_played,contract_years_left,age_squared,assists_p90,crosses_p90,foot,fouls_committed_p90,fouls_drawn_p90,goals_p90,height_cm,interceptions_p90,penalties_scored,starts_ratio,tackles_p90,team_points,team_position,xa_p90,xg_p90,yellow_cards_p90,market_value_eur,pred_general_eur,residuo_general,pred_scouting_eur,residuo_scouting
Konstantinos Koulierakis,Wolfsburg,GER,2025-2026,Defensa,21.0,2482,29.0,4.999315537303217,441.0,0.0362610797743755,0.72522159548751,left,1.0515713134568896,0.47139403706688154,0.145044319097502,188.0,1.2691377921031428,0.0,0.9310344827586207,0.9065269943593877,29,16,0.06414314110948735,0.12892257052231326,0.1813053988718775,25000000.0,16408742.287452254,1.5235780757625446,27468641.11674419,0.9101287498623524
Dodô,Fiorentina,ITA,2025-2026,Defensa,26.0,3134,36.0,0.999315537303217,676.0,0.05743458838544991,4.393746011486917,right,0.6317804722399489,1.5220165922144226,0.028717294192724955,166.0,0.8902361199744736,0.0,1.0,0.5169112954690491,42,15,0.15471960151664338,0.039545453344332085,0.20102105934907466,16000000.0,10538213.167317193,1.518283958197181,17575454.967827383,0.9103605015795426
Nemanja Gudelj,Sevilla,ESP,2025-2026,Defensa,33.0,2348,34.0,,1089.0,0.0,0.2683134582623509,,1.533219761499148,0.42163543441226575,0.07666098807495741,,0.8816013628620103,0.0,0.7647058823529411,0.8816013628620103,43,15,0.031893466848378696,0.05655405945557104,0.34497444633730834,2000000.0,1235796.917441757,1.6183888887991662,2194512.71758234,0.9113640508783966
Giuliano Simeone,Atlético Madrid,ESP,2025-2026,Centrocampista,22.0,2099,31.0,4.0,484.0,0.2572653644592663,2.0581229156741303,right,0.9004287756074322,1.715102429728442,0.1715102429728442,174.0,0.857551214864221,0.0,0.8064516129032258,1.0719390185802764,86,2,0.23697939598884057,0.2616061466972762,0.0857551214864221,40000000.0,60950725.93851803,0.6562678193586838,43880068.449289136,0.9115756062738778
Robin Koch,Frankfurt,GER,2025-2026,Defensa,29.0,2833,32.0,4.0,841.0,0.03176844334627603,0.06353688669255206,right,0.984821743734557,0.41298976350158845,0.0953053300388281,192.0,1.4931168372749735,0.0,1.0,0.8577479703494528,44,8,0.022856617202417526,0.06120972840941882,0.0953053300388281,10000000.0,9427046.698124725,1.060777603020599,10942754.455267478,0.9138466956266512
Xaver Schlager,RB Leipzig,GER,2025-2026,Centrocampista,27.0,1837,26.0,2.001368925393566,729.0,0.048992923244420256,0.5389221556886228,left,1.2248230811105063,0.7838867719107241,0.14697876973326074,174.0,0.34295046271094176,0.0,0.8076923076923077,1.2248230811105063,65,3,0.10767502988048332,0.10571109557855887,0.2939575394665215,10000000.0,17285697.646187246,0.578512953580773,10911490.718384327,0.9164650603745101
Trai Hume,Sunderland,ENG,2025-2026,Defensa,23.0,3036,38.0,4.0,529.0,0.02964426877470356,2.608695652173913,right,0.8893280632411067,1.1264822134387351,0.05928853754940712,180.0,0.741106719367589,0.0,0.8947368421052632,1.3636363636363638,54,7,0.061784935010810615,0.08027592510088041,0.266798418972332,22000000.0,42835671.27612653,0.5135906440728802,23988680.370408136,0.9170992176434464
Robin Hranáč,Hoffenheim,GER,2025-2026,Defensa,25.0,2251,29.0,2.001368925393566,625.0,0.0,0.23989338071968017,right,1.039537983118614,0.3998223011994669,0.039982230119946685,189.0,0.7996446023989338,0.0,0.896551724137931,0.5997334517992003,61,5,0.005113896237366044,0.08275747838707724,0.19991115059973344,10000000.0,16265830.870764732,0.6147856865998419,10884366.729628034,0.9187489036711044
Jayden Addai,Como,ITA,2025-2026,Centrocampista,19.0,686,12.0,4.0,361.0,0.0,1.3119533527696792,left,1.7055393586005831,1.8367346938775508,0.3935860058309038,177.0,0.26239067055393583,0.0,0.5833333333333334,0.26239067055393583,71,4,0.13401018998669814,0.19868975600265726,0.5247813411078717,20000000.0,20765751.766482107,0.9631242935438483,21765081.769530848,0.9189030490112009
Enzo Boyomo,Osasuna,ESP,2025-2026,Defensa,23.0,2542,30.0,3.0006844626967832,529.0,0.07081038552321008,0.35405192761605037,,1.168371361132966,0.17702596380802518,0.03540519276160504,,0.6018882769472856,0.0,0.9666666666666667,1.2745869394177813,42,16,0.050355308190175724,0.04106237194013586,0.24783634933123525,15000000.0,10295072.435789654,1.4570077183579786,16302711.807294076,0.9200923243511412
Adam Karabec,Lyon,FRA,2025-2026,Centrocampista,22.0,922,21.0,,484.0,0.0,7.809110629067245,left,1.3665943600867678,1.9522776572668112,0.09761388286334056,187.0,0.09761388286334056,0.0,0.5238095238095238,0.2928416485900217,60,4,0.20452045758786144,0.15253825796012507,0.2928416485900217,7000000.0,9116622.298021773,0.7678282340948729,7600987.98263353,0.9209329124047234
